batch_name,instrument_name,compound_name,calibration_slope,calibration_intercept,calibration_R2,batch_passed,reviewer_name,batch_collected_ts,review_start_ts,review_complete_ts
b151300,happy,morphine,0.006740739,-2.95E-05,0.985185235,TRUE,Brad,9/9/17 1:07,9/9/17 10:13,9/9/17 10:39
b151300,happy,hydromorphone,0.007137078,2.83E-05,0.989934895,TRUE,Brad,9/9/17 1:07,9/9/17 10:13,9/9/17 10:39
b151300,happy,oxymorphone,0.006649485,3.10E-05,0.993077191,TRUE,Brad,9/9/17 1:07,9/9/17 10:13,9/9/17 10:39
b151300,happy,codeine,0.006657273,1.55E-05,0.995109184,TRUE,Brad,9/9/17 1:07,9/9/17 10:13,9/9/17 10:39
b151300,happy,hydrocodone,0.0065735,-2.30E-05,0.988601083,TRUE,Brad,9/9/17 1:07,9/9/17 10:13,9/9/17 10:39
b151300,happy,oxycodone,0.006883274,-5.90E-06,0.995879949,TRUE,Brad,9/9/17 1:07,9/9/17 10:13,9/9/17 10:39
b387175,happy,morphine,0.007374902,-2.26E-05,0.988970987,TRUE,Alice,9/8/17 20:18,9/9/17 9:19,9/9/17 9:46
b387175,happy,hydromorphone,0.007087317,-1.26E-05,0.987961723,TRUE,Alice,9/8/17 20:18,9/9/17 9:19,9/9/17 9:46
b387175,happy,oxymorphone,0.006831138,4.85E-06,0.986554637,TRUE,Alice,9/8/17 20:18,9/9/17 9:19,9/9/17 9:46
b387175,happy,codeine,0.00703764,-3.52E-05,0.983882678,TRUE,Alice,9/8/17 20:18,9/9/17 9:19,9/9/17 9:46
b387175,happy,hydrocodone,0.006544013,-4.32E-06,0.991991363,TRUE,Alice,9/8/17 20:18,9/9/17 9:19,9/9/17 9:46
b387175,happy,oxycodone,0.007478104,-6.32E-05,0.98837281,TRUE,Alice,9/8/17 20:18,9/9/17 9:19,9/9/17 9:46
b223303,grumpy,morphine,0.006602739,2.16E-06,0.991691877,TRUE,Frank,9/8/17 21:19,9/9/17 11:07,9/9/17 11:49
b223303,grumpy,hydromorphone,0.006593439,-2.60E-05,0.983849539,TRUE,Frank,9/8/17 21:19,9/9/17 11:07,9/9/17 11:49
b223303,grumpy,oxymorphone,0.006380604,1.92E-05,0.992764964,TRUE,Frank,9/8/17 21:19,9/9/17 11:07,9/9/17 11:49
b223303,grumpy,codeine,0.007349828,3.80E-05,0.990669391,TRUE,Frank,9/8/17 21:19,9/9/17 11:07,9/9/17 11:49
b223303,grumpy,hydrocodone,0.006729791,-1.72E-05,0.989249299,TRUE,Frank,9/8/17 21:19,9/9/17 11:07,9/9/17 11:49
