batch_name,instrument_name,compound_name,calibration_slope,calibration_intercept,calibration_R2,batch_passed,reviewer_name,batch_collected_ts,review_start_ts,review_complete_ts
b151300,happy,morphine,0.006740739,-2.94832e-5,0.985185235,TRUE,Brad,2017-09-09T01:07:40Z,2017-09-09T10:13:52Z,2017-09-09T10:39:32Z
b151300,happy,hydromorphone,0.007137078,2.83312e-5,0.989934895,TRUE,Brad,2017-09-09T01:07:40Z,2017-09-09T10:13:52Z,2017-09-09T10:39:32Z
b151300,happy,oxymorphone,0.006649485,3.10399e-5,0.993077191,TRUE,Brad,2017-09-09T01:07:40Z,2017-09-09T10:13:52Z,2017-09-09T10:39:32Z
b151300,happy,codeine,0.006657273,1.54677e-5,0.995109184,TRUE,Brad,2017-09-09T01:07:40Z,2017-09-09T10:13:52Z,2017-09-09T10:39:32Z
b151300,happy,hydrocodone,0.0065735,-2.30173e-5,0.988601083,TRUE,Brad,2017-09-09T01:07:40Z,2017-09-09T10:13:52Z,2017-09-09T10:39:32Z
b151300,happy,oxycodone,0.006883274,-5.90368e-6,0.995879949,TRUE,Brad,2017-09-09T01:07:40Z,2017-09-09T10:13:52Z,2017-09-09T10:39:32Z
b387175,happy,morphine,0.007374902,-2.26359e-5,0.988970987,TRUE,Alice,2017-09-08T20:18:00Z,2017-09-09T09:19:29Z,2017-09-09T09:46:26Z
b387175,happy,hydromorphone,0.007087317,-1.25582e-5,0.987961723,TRUE,Alice,2017-09-08T20:18:00Z,2017-09-09T09:19:29Z,2017-09-09T09:46:26Z
b387175,happy,oxymorphone,0.006831138,4.84885e-6,0.986554637,TRUE,Alice,2017-09-08T20:18:00Z,2017-09-09T09:19:29Z,2017-09-09T09:46:26Z
b387175,happy,codeine,0.00703764,-3.52204e-5,0.983882678,TRUE,Alice,2017-09-08T20:18:00Z,2017-09-09T09:19:29Z,2017-09-09T09:46:26Z
b387175,happy,hydrocodone,0.0065440129999999996,-4.32479e-6,0.991991363,TRUE,Alice,2017-09-08T20:18:00Z,2017-09-09T09:19:29Z,2017-09-09T09:46:26Z
b387175,happy,oxycodone,0.007478104,-6.32384e-5,0.98837281,TRUE,Alice,2017-09-08T20:18:00Z,2017-09-09T09:19:29Z,2017-09-09T09:46:26Z
b223303,grumpy,morphine,0.006602739,2.15567e-6,0.991691877,TRUE,Frank,2017-09-08T21:19:51Z,2017-09-09T11:07:45Z,2017-09-09T11:49:42Z
b223303,grumpy,hydromorphone,0.006593439,-2.59655e-5,0.983849539,TRUE,Frank,2017-09-08T21:19:51Z,2017-09-09T11:07:45Z,2017-09-09T11:49:42Z
b223303,grumpy,oxymorphone,0.006380604,1.9163e-5,0.992764964,TRUE,Frank,2017-09-08T21:19:51Z,2017-09-09T11:07:45Z,2017-09-09T11:49:42Z
b223303,grumpy,codeine,0.007349828,3.79676e-5,0.990669391,TRUE,Frank,2017-09-08T21:19:51Z,2017-09-09T11:07:45Z,2017-09-09T11:49:42Z
b223303,grumpy,hydrocodone,0.006729791,-1.71923e-5,0.989249299,TRUE,Frank,2017-09-08T21:19:51Z,2017-09-09T11:07:45Z,2017-09-09T11:49:42Z
b223303,grumpy,oxycodone,0.006869244,6.19334e-5,0.984591287,TRUE,Frank,2017-09-08T21:19:51Z,2017-09-09T11:07:45Z,2017-09-09T11:49:42Z
b850696,sneezy,morphine,0.00734138,2.08008e-5,0.99736406,TRUE,Brad,2017-09-08T22:59:50Z,2017-09-09T12:39:37Z,2017-09-09T13:18:38Z
b850696,sneezy,hydromorphone,0.007176251,4.93438e-5,0.991065935,TRUE,Brad,2017-09-08T22:59:50Z,2017-09-09T12:39:37Z,2017-09-09T13:18:38Z
b850696,sneezy,oxymorphone,0.006879409,6.13836e-5,0.985885752,TRUE,Brad,2017-09-08T22:59:50Z,2017-09-09T12:39:37Z,2017-09-09T13:18:38Z
b850696,sneezy,codeine,0.007650201,4.41434e-5,0.990182034,TRUE,Brad,2017-09-08T22:59:50Z,2017-09-09T12:39:37Z,2017-09-09T13:18:38Z
b850696,sneezy,hydrocodone,0.007505826,2.20366e-5,0.982164059,TRUE,Brad,2017-09-08T22:59:50Z,2017-09-09T12:39:37Z,2017-09-09T13:18:38Z
b850696,sneezy,oxycodone,0.007532692,-3.94899e-5,0.98600437,TRUE,Brad,2017-09-08T22:59:50Z,2017-09-09T12:39:37Z,2017-09-09T13:18:38Z
b540084,dopey,morphine,0.007259823,3.09164e-5,0.997440308,TRUE,Frank,2017-09-08T20:11:14Z,2017-09-09T10:13:08Z,2017-09-09T10:36:42Z
b540084,dopey,hydromorphone,0.007504349,-4.42101e-5,0.98883015,TRUE,Frank,2017-09-08T20:11:14Z,2017-09-09T10:13:08Z,2017-09-09T10:36:42Z
b540084,dopey,oxymorphone,0.006817063,1.78511e-5,0.997628332,TRUE,Frank,2017-09-08T20:11:14Z,2017-09-09T10:13:08Z,2017-09-09T10:36:42Z
b540084,dopey,codeine,0.006766776,1.10122e-5,0.992437501,TRUE,Frank,2017-09-08T20:11:14Z,2017-09-09T10:13:08Z,2017-09-09T10:36:42Z
b540084,dopey,hydrocodone,0.006297683,1.46585e-5,0.98568855,TRUE,Frank,2017-09-08T20:11:14Z,2017-09-09T10:13:08Z,2017-09-09T10:36:42Z
b540084,dopey,oxycodone,0.007386589,3.76836e-5,0.981112515,TRUE,Frank,2017-09-08T20:11:14Z,2017-09-09T10:13:08Z,2017-09-09T10:36:42Z
b468276,doc,morphine,0.006919917,-2.26361e-5,0.988216701,TRUE,Frank,2017-09-09T01:36:28Z,2017-09-09T13:56:55Z,2017-09-09T14:27:07Z
b468276,doc,hydromorphone,0.007712374,1.14216e-5,0.990077804,TRUE,Frank,2017-09-09T01:36:28Z,2017-09-09T13:56:55Z,2017-09-09T14:27:07Z
b468276,doc,oxymorphone,0.007158608,-5.88279e-5,0.986133804,TRUE,Frank,2017-09-09T01:36:28Z,2017-09-09T13:56:55Z,2017-09-09T14:27:07Z
b468276,doc,codeine,0.008049139,2.16466e-6,0.99103301,TRUE,Frank,2017-09-09T01:36:28Z,2017-09-09T13:56:55Z,2017-09-09T14:27:07Z
b468276,doc,hydrocodone,0.008071596,8.12936e-5,0.982385139,TRUE,Frank,2017-09-09T01:36:28Z,2017-09-09T13:56:55Z,2017-09-09T14:27:07Z
b468276,doc,oxycodone,0.007403803,3.2869e-5,0.989582059,TRUE,Frank,2017-09-09T01:36:28Z,2017-09-09T13:56:55Z,2017-09-09T14:27:07Z
b273271,happy,morphine,0.007228612,-9.13235e-6,0.994554627,TRUE,Charles,2017-09-09T01:36:38Z,2017-09-09T13:26:47Z,2017-09-09T14:07:03Z
b273271,happy,hydromorphone,0.007023866,5.24923e-6,0.993893628,TRUE,Charles,2017-09-09T01:36:38Z,2017-09-09T13:26:47Z,2017-09-09T14:07:03Z
b273271,happy,oxymorphone,0.006728716,-3.69771e-5,0.993750706,TRUE,Charles,2017-09-09T01:36:38Z,2017-09-09T13:26:47Z,2017-09-09T14:07:03Z
