batch_name,instrument_name,batch_passed,reviewer_name,batch_collected_ts,review_start_ts,review_complete_ts,calibration_slope_morphine,calibration_slope_hydromorphone,calibration_slope_oxymorphone,calibration_slope_codeine,calibration_slope_hydrocodone,calibration_slope_oxycodone,calibration_intercept_morphine,calibration_intercept_hydromorphone,calibration_intercept_oxymorphone,calibration_intercept_codeine,calibration_intercept_hydrocodone,calibration_intercept_oxycodone,calibration_R2_morphine,calibration_R2_hydromorphone,calibration_R2_oxymorphone,calibration_R2_codeine,calibration_R2_hydrocodone,calibration_R2_oxycodone
b151300,happy,TRUE,Brad,2017-09-09T01:07:40Z,2017-09-09T10:13:52Z,2017-09-09T10:39:32Z,0.006740739,0.007137078,0.006649485,0.006657273,0.0065735,0.006883274,-2.94832e-5,2.83312e-5,3.10399e-5,1.54677e-5,-2.30173e-5,-5.90368e-6,0.985185235,0.989934895,0.993077191,0.995109184,0.988601083,0.995879949
b387175,happy,TRUE,Alice,2017-09-08T20:18:00Z,2017-09-09T09:19:29Z,2017-09-09T09:46:26Z,0.007374902,0.007087317,0.006831138,0.00703764,0.0065440129999999996,0.007478104,-2.26359e-5,-1.25582e-5,4.84885e-6,-3.52204e-5,-4.32479e-6,-6.32384e-5,0.988970987,0.987961723,0.986554637,0.983882678,0.991991363,0.98837281
b223303,grumpy,TRUE,Frank,2017-09-08T21:19:51Z,2017-09-09T11:07:45Z,2017-09-09T11:49:42Z,0.006602739,0.006593439,0.006380604,0.007349828,0.006729791,0.006869244,2.15567e-6,-2.59655e-5,1.9163e-5,3.79676e-5,-1.71923e-5,6.19334e-5,0.991691877,0.983849539,0.992764964,0.990669391,0.989249299,0.984591287
b850696,sneezy,TRUE,Brad,2017-09-08T22:59:50Z,2017-09-09T12:39:37Z,2017-09-09T13:18:38Z,0.00734138,0.007176251,0.006879409,0.007650201,0.007505826,0.007532692,2.08008e-5,4.93438e-5,6.13836e-5,4.41434e-5,2.20366e-5,-3.94899e-5,0.99736406,0.991065935,0.985885752,0.990182034,0.982164059,0.98600437
b540084,dopey,TRUE,Frank,2017-09-08T20:11:14Z,2017-09-09T10:13:08Z,2017-09-09T10:36:42Z,0.007259823,0.007504349,0.006817063,0.006766776,0.006297683,0.007386589,3.09164e-5,-4.42101e-5,1.78511e-5,1.10122e-5,1.46585e-5,3.76836e-5,0.997440308,0.98883015,0.997628332,0.992437501,0.98568855,0.981112515
b468276,doc,TRUE,Frank,2017-09-09T01:36:28Z,2017-09-09T13:56:55Z,2017-09-09T14:27:07Z,0.006919917,0.007712374,0.007158608,0.008049139,0.008071596,0.007403803,-2.26361e-5,1.14216e-5,-5.88279e-5,2.16466e-6,8.12936e-5,3.2869e-5,0.988216701,0.990077804,0.986133804,0.99103301,0.982385139,0.989582059
b273271,happy,TRUE,Charles,2017-09-09T01:36:38Z,2017-09-09T13:26:47Z,2017-09-09T14:07:03Z,0.007228612,0.007023866,0.006728716,0.007048315,0.007038256,0.00693586,-9.13235e-6,5.24923e-6,-3.69771e-5,-6.25085e-5,3.96183e-6,-3.67519e-5,0.994554627,0.993893628,0.993750706,0.983142739,0.995265452,0.987293394
b840108,doc,TRUE,Brad,2017-09-08T20:51:38Z,2017-09-09T09:21:00Z,2017-09-09T09:56:43Z,0.007937797,0.008615069,0.007148117,0.007502647,0.008597884,0.00825501,-1.77452e-5,-8.04592e-5,-1.08345e-5,1.34482e-5,3.68465e-5,4.24583e-5,0.98721088,0.980921322,0.993190672,0.984151229,0.98819911,0.986643009
b347609,dopey,TRUE,Charles,2017-09-08T22:09:55Z,2017-09-09T13:32:31Z,2017-09-09T14:12:43Z,0.006728764,0.006944332,0.007464462,0.007070086,0.006610306,0.006784224,1.1599e-5,-3.01559e-5,-3.06524e-6,-6.34527e-6,-2.57549e-6,5.88124e-5,0.991440698,0.994494737,0.994153547,0.992545185,0.987972984,0.990864929
b348568,happy,TRUE,Charles,2017-09-09T01:25:13Z,2017-09-09T13:11:12Z,2017-09-09T13:42:51Z,0.006490426,0.007370841,0.006822869,0.006596196,0.007173195,0.007140147,4.72884e-5,-3.23071e-5,-4.87559e-5,-1.00667e-5,-2.67329e-5,3.34868e-5,0.989370006,0.987376654,0.991201231,0.989554808,0.993563394,0.989349442
b240405,happy,TRUE,Charles,2017-09-08T22:23:02Z,2017-09-09T11:46:13Z,2017-09-09T12:15:47Z,0.006565807,0.006558638,0.007217493,0.007060458,0.007482435,0.007120938,6.46224e-5,3.59895e-5,5.99239e-5,1.94101e-5,-3.51159e-5,-7.75065e-6,0.982822801,0.982579909,0.985533558,0.989934861,0.995355856,0.992524553
b342704,doc,TRUE,Brad,2017-09-09T00:26:41Z,2017-09-09T12:00:10Z,2017-09-09T12:28:35Z,0.008148501,0.007613348,0.00873742,0.008434822,0.007474156,0.007295905,-1.5434e-5,3.69837e-6,2.79196e-6,5.62184e-5,1.8612e-5,-2.87516e-5,0.986859151,0.989725868,0.993001293,0.987756983,0.997566636,0.984831838
b143897,sneezy,TRUE,Brad,2017-09-08T23:33:58Z,2017-09-09T10:21:57Z,2017-09-09T10:54:28Z,0.006901997,0.007371939,0.006416027,0.007258247,0.006225419,0.007115441,3.19976e-5,-1.38429e-5,-5.71086e-6,2.54322e-6,2.81976e-5,2.13516e-5,0.993172431,0.986619379,0.992689927,0.995672287,0.989478017,0.993146551
b414490,happy,TRUE,Brad,2017-09-08T20:31:53Z,2017-09-09T09:58:16Z,2017-09-09T10:20:05Z,0.007124184,0.007516077,0.00700908,0.007755774,0.007529624,0.007026333,1.91347e-5,1.43279e-5,-2.25856e-5,-2.33232e-5,-3.84985e-5,1.32562e-5,0.997470526,0.997918058,0.992535468,0.990461568,0.995415389,0.995674838
b477119,bashful,TRUE,Alice,2017-09-08T23:06:18Z,2017-09-09T13:41:31Z,2017-09-09T14:04:50Z,0.006921442,0.006878249,0.0066926,0.007092994,0.006968034,0.00700865,-5.21953e-5,-1.7831e-5,-1.46002e-5,3.84705e-5,1.5372e-5,1.69866e-5,0.991509062,0.986537796,0.988702066,0.991129242,0.980434595,0.997414918
b322851,sneezy,TRUE,Elizabeth,2017-09-08T22:56:28Z,2017-09-09T10:39:59Z,2017-09-09T11:07:00Z,0.007164649,0.006716589,0.006657357,0.006939015,0.007414332,0.007266897,-2.00418e-5,-2.1617e-5,-4.01812e-5,9.4672e-6,2.37796e-5,-8.10041e-6,0.991682705,0.990643416,0.993331515,0.993426124,0.992247965,0.990377415
b497288,bashful,TRUE,Brad,2017-09-08T21:02:55Z,2017-09-09T13:37:47Z,2017-09-09T13:57:38Z,0.007245434,0.00684958,0.006769207,0.007389602,0.006752378,0.007050037,1.14406e-5,3.294e-5,2.53419e-5,-2.6321e-5,2.02771e-5,3.18717e-5,0.994455284,0.990560973,0.993942459,0.990338272,0.99674021,0.995298401
b468782,sneezy,TRUE,Charles,2017-09-08T23:36:00Z,2017-09-09T13:33:41Z,2017-09-09T14:09:54Z,0.007204387,0.006789625,0.007323431,0.007133983,0.00717799,0.006943743,-3.5258e-6,1.9274e-5,-5.70643e-5,2.51918e-5,2.25743e-5,-9.37198e-6,0.989366574,0.991101702,0.991451191,0.991751245,0.997361046,0.993790086
b178956,doc,TRUE,Charles,2017-09-09T01:43:05Z,2017-09-09T11:04:49Z,2017-09-09T11:30:59Z,0.007895905,0.008252925,0.007278791,0.008112625,0.007470222,0.00726529,6.61232e-6,-1.39293e-5,-1.7496e-5,2.59834e-5,-1.16336e-5,-8.34505e-6,0.984478032,0.982232427,0.991257539,0.980538806,0.986411454,0.993967591
b624151,grumpy,TRUE,Charles,2017-09-09T01:17:47Z,2017-09-09T10:55:25Z,2017-09-09T11:28:22Z,0.007079631,0.006884953,0.006354707,0.007606595,0.006793034,0.007432621,4.13102e-5,1.4411e-5,4.86253e-5,1.80442e-6,-1.89573e-5,-5.3238e-6,0.992802843,0.995841737,0.989134305,0.995569439,0.996871393,0.986976177
b693400,bashful,TRUE,Elizabeth,2017-09-09T20:56:48Z,2017-09-10T13:48:00Z,2017-09-10T14:16:58Z,0.007304779,0.006757088,0.006767753,0.006895612,0.007009484,0.007198513,2.59209e-5,3.98189e-5,-2.74649e-5,-4.7596e-5,3.76877e-5,-3.76325e-5,0.996074971,0.986756114,0.992658032,0.987160737,0.993269377,0.988473123
