batch_name,sample_name,sample_type,morphine,hydromorphone,oxymorphone,codeine,hydrocodone,oxycodone
b151300,s300001,blank,0,0,0,0,0,0
b151300,s300002,standard,0,0,0,0,0,0
b151300,s300003,standard,18.2650535849025,22.2802584691607,22.5361656610316,21.3820948216687,17.5340655348753,20.4006465887336
b151300,s300004,standard,46.7722648518406,48.3041453944445,49.0685494849436,46.3681972307117,59.3187673127709,44.2984215834731
b151300,s300005,standard,105.564420059263,93.5477538225387,87.1492615224814,108.080927676296,89.0321093231212,100.784109617953
b151300,s300006,standard,246.632568153908,165.785990576666,189.425013664307,179.056843387397,190.491740286411,202.292740364939
b151300,s300007,standard,256.648992578316,330.791845522524,323.224129270927,295.844364196139,318.454300527076,330.647732220641
b151300,s300008,standard,503.499170214087,526.428596234643,497.894639733388,520.644969974297,516.313623623651,486.267666743746
b151300,s300009,blank,0,0,0,0,0,0
b151300,s300010,unknown,0,401.050092689693,147.89254553616,0,196.450890861452,476.63870614022
b151300,s300011,unknown,0,335.172241181135,134.941564574838,0,0,0
b151300,s300012,unknown,0,270.874516554177,0,0,482.992251999676,0
b151300,s300013,unknown,0,0,255.786161459982,0,0,0
b151300,s300014,unknown,430.703578330576,160.532941557467,0,385.633833855391,0,367.094119042158
b151300,s300015,unknown,0,45.8978427201509,0,0,267.748880386353,0
b151300,s300016,unknown,488.631838411093,429.143635742366,240.740542896092,0,388.179384544492,123.750076182187
b151300,s300017,unknown,0,0,0,0,0,452.434349730611
b151300,s300018,unknown,252.624589391053,0,0,0,269.876298606396,177.74288687855
b151300,s300019,unknown,0,493.503330796957,140.622888952494,0,427.988678663969,0
b151300,s300020,qc,37.6672234354729,42.2295816838292,31.5808988653722,36.1992150121638,42.6263734724081,33.9484942502091
b151300,s300021,unknown,149.592569619417,0,203.415429182351,0,0,0
b151300,s300022,unknown,259.632971547544,161.909987106919,0,274.205826185644,359.153287820518,48.2614278793335
b151300,s300023,unknown,471.743698939681,0,0,0,145.677528493106,82.470477335155
b151300,s300024,unknown,0,37.1234653145075,254.788962751627,0,0,0
b151300,s300025,unknown,0,395.653516985476,92.1558290347457,38.4914365038276,330.313707888126,0
b151300,s300026,unknown,222.657491154969,464.159196279943,202.924407012761,0,0,224.133757203817
b151300,s300027,unknown,0,138.098071068525,431.15946020931,189.932370148599,0,436.437377892435
b151300,s300028,unknown,206.799997650087,0,0,442.682317309082,0,59.4668791815639
b151300,s300029,unknown,0,477.289077453315,0,0,0,0
b151300,s300030,unknown,0,0,0,289.742280170321,336.900810003281,0
b151300,s300031,qc,202.359122559543,247.179321391834,253.013298719869,296.234038650087,280.014727092241,253.616944731879
b151300,s300032,unknown,0,207.008690387011,0,0,0,0
b151300,s300033,unknown,124.932463094592,0,433.092529810965,81.8884637951851,0,0
b151300,s300034,unknown,330.653184354305,0,0,0,410.621067173779,0
b151300,s300035,unknown,472.988910675049,0,0,0,0,290.73255866766
b151300,s300036,unknown,244.554580077529,0,0,0,0,0
b151300,s300037,unknown,0,346.903472952545,37.3644737526774,134.086931087077,0,290.930093973875
b151300,s300038,unknown,393.238968625665,0,445.470847077668,212.754307873547,23.512812256813,84.0242924168706
b151300,s300039,unknown,0,0,0,0,0,128.922797068954
b151300,s300040,unknown,0,151.130111403763,284.083778597414,0,471.174103915691,327.803080901504
b151300,s300041,unknown,216.437450237572,0,232.353406958282,0,0,426.539478898048
b151300,s300042,qc,366.090314280317,413.707806096796,442.827149077393,314.432947118577,352.718031611982,494.238474121841
b151300,s300043,unknown,307.81594093889,0,22.3378828912973,0,0,0
b151300,s300044,unknown,124.645913764834,0,0,143.976437561214,272.528298124671,199.016793705523
b151300,s300045,unknown,196.40954438597,103.257727622986,0,143.870881460607,330.061658583581,457.722526974976
b151300,s300046,unknown,0,0,206.494881510735,94.825882948935,0,0
b151300,s300047,unknown,0,343.13294801861,0,170.350392498076,130.543707497418,0
b151300,s300048,unknown,0,0,0,0,0,275.563098601997
b151300,s300049,unknown,0,121.322290450335,191.060065813363,162.568611577153,0,92.7533091977239
b151300,s300050,unknown,36.093081086874,0,327.306526564062,0,0,154.03997246176
b151300,s300051,unknown,0,154.232016727328,369.17230553925,281.564476788044,0,498.999348729849
b151300,s300052,unknown,236.728137023747,408.193417564034,497.564685866237,0,0,284.899900704622
b387175,s175001,blank,0,0,0,0,0,0
b387175,s175002,standard,0,0,0,0,0,0
b387175,s175003,standard,17.4930913465304,18.1008441162749,20.4507321234917,18.5356194820777,19.8697336989361,16.9817647926117
b387175,s175004,standard,58.4237567084781,55.0981990800546,44.8011312057345,43.414795220221,45.4514437074663,47.9779643348702
b387175,s175005,standard,102.730851243269,114.717186990019,117.234290740745,108.414795799734,117.947832417235,91.1561415876501
b387175,s175006,standard,189.088865228793,200.670126810847,222.480579861247,228.536253629654,187.260142863531,211.18363918893
b387175,s175007,standard,268.478711468126,246.736344325413,251.33244436973,250.362382920794,310.015619758288,312.368734403883
b387175,s175008,standard,544.594210850091,510.008413773017,479.460074215638,571.776309471719,474.160001609785,591.321873585626
b387175,s175009,blank,0,0,0,0,0,0
b387175,s175010,unknown,247.065914273262,0,0,230.729205682874,265.533282756805,0
b387175,s175011,unknown,123.620663285255,0,205.007527209818,0,415.768607705832,0
b387175,s175012,unknown,420.369091816247,0,80.2062805369496,479.61293194443,201.905422396958,0
b387175,s175013,unknown,51.2381745129824,468.174749612808,0,0,0,21.7307931557298
b387175,s175014,unknown,462.878833971918,489.574150517583,42.017042003572,71.3320594653487,0,143.852898925543
b387175,s175015,unknown,0,0,30.2997815236449,84.3362371250987,0,0
b387175,s175016,unknown,0,226.213650591671,0,0,255.834531523287,0
